Settlement House,Title,Main Office (delete or move to keep formatting),Address,City,Borough,State,Zipcode,Programs,Early Childhood Education,Afterschool Programs,Older Adult Services,Latitude,Longitude
MMCC,Grant Houses,,1301 Amsterdam Avenue,New York,Manhattan,NY,10027,Cornerstone,,Afterschool,,40.811806,-73.956573
MMCC,PS 78,,1400 Needham Ave.,Bronx,Bronx,NY ,10469,Community School,,,,40.87866,-73.850711
MMCC,Co-op City Teen Center,,141 Einstein Loop,Bronx,Bronx,NY,10475,Other Children & Youth Services,,,,40.86526,-73.822233
MMCC,Kipp Elements Elementary School,,1504 Macombs Rd,Bronx,Bronx,NY,10452,Other Children & Youth Services,,,,40.84324,-73.917586
MMCC,PS 368,,1750 Amsterdam Ave,New York,Manhattan,NY,10031,"Community School, 21st Century Community Learning Center",,Afterschool,,40.826296,-73.947065
MMCC,ABM Project,,1909 Amsterdam Ave,New York,Manhattan,NY,10032,"Adult Literacy, Family Services, Other Children & Youth Services, Food Access",,,,40.83112,-73.943008
MMCC,City Island Afterschool at PS 175,,200 City Island Ave.,Bronx,Bronx,NY,10464,Other Children & Youth Services,,,,40.843701,-73.784918
MMCC,PS 340,,25 W 195th St,Bronx,Bronx,NY,10468,Other Children & Youth Services,,,,40.869089,-73.897308
MMCC,Tax Preparer Program,,2501 Grand Concourse,Bronx,Bronx,NY,10468,Workforce Development,,,,40.862499,-73.897306
MMCC,JHS 144,,"2545 Gunther Ave,",Bronx,Bronx,NY,10469,COMPASS/SONYC,,Afterschool,,40.864204,-73.836305
MMCC,Mosholu Day Camp,,261 Arden Valley Rd,Southfields,Southfields,NY,10975,Other Children & Youth Services,,,,41.2743066,-74.1098213
MMCC,PS 86,,2756 Reservoir Ave.,Bronx,Bronx,NY,10468,"Beacon, Community School",,Afterschool,,40.870032,-73.898209
MMCC,Parkside Community Center,,2972 Bronx Park,Bronx,Bronx,NY,10467,Cornerstone,,Afterschool,,40.869337,-73.870277
MMCC,Mosholu PS 8,,3010 Briggs Ave.,Bronx,Bronx,NY,10458,Beacon,,Afterschool,,40.872411,-73.883652
MMCC,International Charter Middle School,,"3030 Riverdale Ave,",Bronx,Bronx,NY ,10463,Other Children & Youth Services,,,,40.88106,-73.909359
MMCC,PS/MS 20,,3050 Webster Ave.,Bronx,Bronx,NY,10467,COMPASS/SONYC,,Afterschool,,40.869671,-73.879096
MMCC,PS 7 ,,3201 Kingsbridge Ave.,Bronx,Bronx,NY,10463,"Other Children & Youth Services, Summer Rising",,,,40.881447,-73.905615
MMCC,Explorer Day Camp,,33 Mesaris Circle,Woodbury,Bear Mountain,NY,10928,COMPASS/SONYC,,Afterschool,,41.313197,-74.08489
MMCC,Fort Independence Community Center,,3350 Bailey Ave.,Bronx,Bronx,NY,10463,"Cornerstone, Older Adult Center, Food Access",,Afterschool,Older Adults,40.879854,-73.900401
MMCC,PS 41,,3352 Olinville Ave.,Bronx,Bronx,NY,10467,COMPASS/SONYC,,Afterschool,,40.874522,-73.868022
MMCC,Main Office,X,3450 DeKalb Ave.,Bronx,Bronx,NY,10467,"Workforce Development, Other Children & Youth Services, Food Access, Adult Literacy, Older Adult Center, Immigrant Services, Mental Health & Substance Abuse, Family Services",,,Older Adults,40.881966,-73.880582
MMCC,CDC of MMCC - Main Site,,3450 Dekalb Avenue,Bronx,Bronx,NY,10467,"Child Care Center, Head Start",Early Childhood Education,,,40.881966,-73.880582
MMCC,CDC of MMCC - Northside Annex,,3512 DeKalb Ave.,Bronx,Bronx,NY,10467,"Child Care Center, Head Start, Workforce Development",Early Childhood Education,,,40.882593,-73.880004
MMCC,PS 94,,3530 Kings College Place,Bronx,Bronx,NY,10467,COMPASS/SONYC,,Afterschool,,40.880463,-73.875535
MMCC,Bronx Dance Academy,,3617 Bainbridge Ave.,Bronx,Bronx,NY,10467,COMPASS/SONYC,,Afterschool,,40.885373,-73.877805
MMCC,Baychester Middle School; Bronx Alliance; One World Middle School-SONYC,,3750 Baychester Ave.,Bronx,Bronx,NY,10466,COMPASS/SONYC,,Afterschool,,40.886052,-73.840578
MMCC,CDC of MMCC - Van Cortlandt,,3880 Sedgwick Ave.,Bronx,Bronx,NY,10463,"Child Care Center, Head Start",Early Childhood Education,,,40.88274,-73.893779
MMCC,PS/MS 95,,3961 Hillman Ave.,Bronx,Bronx,NY,10463,COMPASS/SONYC,,Afterschool,,40.882954,-73.891442
MMCC,PS 103,,4125 Carpenter Ave,Bronx,Bronx,NY,10466,21st Century Community Learning Center,,Afterschool,,40.892254,-73.861624
MMCC,PS 160; Equality Charter School,,4140 Hutchinson River Pkwy,Bronx,Bronx,NY,10475,COMPASS/SONYC,,Afterschool,,40.8644,-73.824242
MMCC,PS/MS 19,,4318 Katonah Ave.,Bronx,Bronx,NY,10470,"COMPASS/SONYC, LEAPS",,Afterschool,,40.899302,-73.8673
MMCC,PS 16,,4550 Carpenter Ave,Bronx,Bronx,NY ,10470,Summer Rising,,,,40.902378,-73.854548
MMCC,Tiny Blossoms Child Development Center of MMCC - Early Head Start ,,4660 3rd Ave,Bronx,Bronx,NY,10458,"Child Care Center, Head Start",Early Childhood Education,,,40.857696,-73.89093
MMCC,Marble Hill Community Center,,5365 Broadway,Bronx,Bronx,NY,10463,"Older Adult Center, Food Access, Cornerstone",,Afterschool,Older Adults,40.876505,-73.908012
MMCC,Kipp Washington Heights,,586 W 177th St,New York,Manhattan,NY,10033,Other Children & Youth Services,,,,40.846444,-73.9352
MMCC,PS 153,,650 Baychester Ave.,Bronx,Bronx,NY,10475,COMPASS/SONYC,,Afterschool,,40.873054,-73.833346
MMCC,PS 21,,715 E 225th St.,Bronx,Bronx,NY,10466,COMPASS/SONYC,,Afterschool,,40.887672,-73.859731
MMCC,Kipp Academy Elementary School,,730 Concourse Village W,Bronx,Bronx,NY,10451,Other Children & Youth Services,,,,40.822582,-73.923547
MMCC,Gun Hill Community Center,,731 Magenta St.,Bronx,Bronx,NY,10467,Cornerstone,,Afterschool,,40.875453,-73.865496
MMCC,Gun Hill Cornerstone,,745 Magenta Street,Bronx,Bronx,NY,10467,"Cornerstone, Food Access",,Afterschool,,40.875208,-73.86536
MMCC,Capital Charter School,,755 Co Op City Blvd,Bronx,Bronx,NY,10475,COMPASS/SONYC,,Afterschool,,40.880113,-73.826676
MMCC,Pelham Parkway Community Center,,785 Pelham Parkway,Bronx,Bronx,NY,10467,Cornerstone,,Afterschool,,40.858151,-73.863868
MMCC,Bronx Lab School,,800 E. Gun Hill Rd,Bronx,Bronx,NY,10467,"Beacon, Workforce Development",,Afterschool,,40.875557,-73.861425
MMCC,PS 76,,900 Adee Ave,Bronx,Bronx,NY ,10469,LEAPS,,Afterschool,,40.869404,-73.861045
MMCC,PS 150,,920 E167th St.,Bronx,Bronx,NY ,10459,Community School,,,,40.826207,-73.894274
MMCC,Natly Esnard CDC of MMCC,,934 East Gun Hill Road,Bronx,Bronx,NY,10469,"Child Care Center, Head Start",Early Childhood Education,,,40.875002,-73.859459
New Settlement,New Settlement Apt,,1424-26 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.840255,-73.915308
New Settlement,PS 64,,1425 Walton Ave.,Bronx,Bronx,NY,10452,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.840301,-73.915611
New Settlement,New Settlement Apt,,1450-56 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.841039,-73.915662
New Settlement,New Settlement Apt,,1465-75-77 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.841652,-73.915669
New Settlement,Bronx Helpers; New Settlement Apt,,1484 Inwood Ave.,Bronx,Bronx,NY,10452,COMPASS/SONYC,,Afterschool,,40.842464,-73.917391
New Settlement,Mt. Eden's Children's Academy; Community Campus Center; CMSP 327,,1501 Jerome Ave.,Bronx,Bronx,NY,10452,"21st Century Community Learning Center, COMPASS/SONYC, Summer Rising, Health & Fitness, Other Children & Youth Services, Other Older Adult Services",,Afterschool,Older Adults,40.842618,-73.916241
New Settlement,New Settlement Apt,,1503-05 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.841972,-73.914375
New Settlement,New Settlements Multicultural Afterschool Program,X,1512-14 Townsend Ave.,Bronx,Bronx,NY,10452,COMPASS/SONYC,,Afterschool,,40.84226,-73.914948
New Settlement,New Settlement Apt,,1517 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.842073,-73.914304
New Settlement,New Settlement Apt,,1525 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.842292,-73.914149
New Settlement,New Settlement Apt,,1525-33 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.842626,-73.914973
New Settlement,Program for Girls and Young Women,,1525-33 Townsend Ave.,Bronx,Bronx,NY,10452,Other Children & Youth Services,,,,40.842626,-73.914973
New Settlement,New Settlement Apt,,1530-32 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.842659,-73.914659
New Settlement,New Settlement Apt,,1550 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.842975,-73.914434
New Settlement,New Settlement Apt,,1560-62 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.843336,-73.914178
New Settlement,College Access and Success Center,,1563 Walton Ave.,Bronx,Bronx,NY,10452,"Workforce Development, Youth Employment Services, Other Children & Youth Services",,,,40.843306,-73.913423
New Settlement,New Settlement Apt,,1563 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.843306,-73.913423
New Settlement,New Settlement Apt,,1585 Townsend Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.844219,-73.913838
New Settlement,New Settlement Apt,,1610-14-16 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.844076,-73.912578
New Settlement,New Settlement Apt,,1615-17 Walton Ave.,Bronx,Bronx,NY,10452,n/a,,,,40.844211,-73.912778
New Settlement,IS 303 ASP,,1700 Macombs Avenue,Bronx,Bronx,NY,10453,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.849497,-73.915755
New Settlement,Young Adult Opportunity Initiative (YAOI),,19 East Mt Eden Ave.,Bronx,Bronx,NY,10452,"Workforce Development, Youth Employment Services",,,,40.844354,-73.91445
New Settlement,Taft School Success Center,,240 East 172nd St.,Bronx,Bronx,NY,10457,"Community School, Youth Employment Services, Other Children & Youth Services, Workforce Development",,,,40.840026,-73.911172
New Settlement,New Settlement Apt,,35 Marcy Place,Bronx,Bronx,NY,10452,Civic Engagement & Community Organizing,,,,40.83857,-73.917222
NMIC,Main Office,X,45 Wadsworth Avenue,New York,Manhattan,NY,10033,"Adult Literacy, Food Access, Family Services, Housing & Homelessness, Immigrant Services, Mental Health & Substance Abuse, Violence Prevention, Workforce Development, Other Children & Youth Services, Civic Engagement & Community Organizing, Health & Fitness",,,,40.846189,-73.937389
NMIC,Bronx Office,,8 Clinton Place,Bronx,Bronx,NY,10453,"Housing & Homelessness, Immigrant Services",,,,40.85664,-73.905222
Ocean Bay CDC,B.R.I.D.G.E. Family Enrichment Center,,217 Beach 92nd,Rockaway,Queens,NY,11693,"Youth Employment Services, Other Children & Youth Services, Civic Engagement & Community Organizing, Family Services, Workforce Development, Immigrant Services, Food Access, Arts & Culture",,,,40.586607,-73.815676
Ocean Bay CDC,Main Building,X,443 Beach 54th St.,Arverne,Queens,NY,11692,"Civic Engagement & Community Organizing, Family Services, Food Access",,,,40.596005,-73.784779
Ocean Bay CDC,Ocean Bay Community Center,,57-10 Beach Channel Drive,Arverne,Queens,NY,11692,"Adult Literacy, Workforce Development, Other Children & Youth Services, Arts & Culture, Family Services, Civic Engagement & Community Organizing, Mental Health & Substance Abuse, Food Access",,,,40.595007,-73.787626
Ocean Bay CDC,Y.E.S Afterschool Program,,57-10 Beach Channel Drive,Arverne,Queens,NY,11692,"Health & Fitness, Other Children & Youth Services",,,,40.595007,-73.787626
Ocean Bay CDC,Senior Center,,74-16 Beach Channel Drive,Rockaway,Queens,NY,11692,"Older Adult Center, Other Older Adult Services, Adult Literacy, Civic Engagement & Community Organizing, Food Access, Health & Fitness, Workforce Development",,,Older Adults,40.590823,-73.802869
Project Hospitality,Hospitality House Tier II Family Shelter,,100 Central Ave.,Staten Island,Staten Island,NY,10301,"Other Children & Youth Services, Family Services",,,,40.639074,-74.076482
Project Hospitality,Administrative Office,X,100 Park Ave.,Staten Island,Staten Island,NY,10302,,,,,40.638035,-74.132074
Project Hospitality,O'Callaghan House - MICA Transitional Housing / Hope Housing,,103 Targee Street,Staten Island,Staten Island,NY,10304,Housing & Homelessness,,,,40.624447,-74.083415
Project Hospitality,Legal Advocacy,,126 Bennett St,Staten Island,Staten Island,NY,10302,"Immigrant Services, Civic Engagement & Community Organizing",,,,40.637937,-74.13278
Project Hospitality,Wellness Center / Recovery Program,,14 Slosson Terrace,Staten Island,Staten Island,NY,10301,Mental Health & Substance Abuse,,,,40.639392,-74.076118
Project Hospitality,Drop In Center/Respite Bed/Outreach Housing Program/Health Homes,,150 Richmond Terrace,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.64556,-74.078096
Project Hospitality,Food Pantry,,1540 Castleton Ave.,Staten Island,Staten Island,NY,10302,Food Access,,,,40.636052,-74.134271
Project Hospitality,TIL Grandview,,200 Grandview Ave,Staten Island,Staten Island,NY,10303,Other Children & Youth Services,,,,40.634913,-74.165275
Project Hospitality,HIV Supportive Services (SHINE Center),,205 Canal St.,Staten Island,Staten Island,NY,10304,"Mental Health & Substance Abuse, Food Access",,,,40.625201,-74.079671
Project Hospitality,Help Center; Food Pantry ,,211 Canal St.,Staten Island,Staten Island,NY,10304,"Other Children & Youth Services, Civic Engagement & Community Organizing, Family Services, Immigrant Services, Housing & Homelessness, Mental Health & Substance Abuse, Food Access",,,,40.625096,-74.07981
Project Hospitality,Help Center  ,,221 Port Richmond Ave.,Staten Island,Staten Island,NY,10302,"Civic Engagement & Community Organizing, Immigrant Services",,,,40.635887,-74.134724
Project Hospitality,Youth Drop In Center,,27 Port Richmond Ave.,Staten Island,Staten Island,NY,10302,Other Children & Youth Services,,,,40.639953,-74.131721
Project Hospitality,TIL Van Pelt,,348 Van Pelt Ave,Staten Island,Staten Island,NY,10303,Other Children & Youth Services,,,,40.627198,-74.155882
Project Hospitality,TIL Gary Court,,38 Gary Court,Staten Island,Staten Island,NY,10314,Other Children & Youth Services,,,,40.608161,-74.158659
Project Hospitality,Carpenter House,,385 Jersey Street,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.638776,-74.087388
Project Hospitality,Emergency Shelter - Hylan,,481 Hylan Boulevard,Staten Island,Staten Island,NY,10305,Housing & Homelessness,,,,40.608145,-74.076666
Project Hospitality,HUD Permanent Supportive Housing / Medicaid Redesign Team Housing / Supportive Apartment Program / HOPWA Housing / Castleton Housing Program,,501 Cary Ave.,Staten Island,Staten Island,NY,10310,Housing & Homelessness,,,,40.632563,-74.118627
Project Hospitality,"PREP (Pause, Reflect, Engage, and Prepare)",,75 Vanderbilt Ave.,Staten Island,Staten Island,NY,10304,Mental Health & Substance Abuse,,,,40.622244,-74.074865
Queens Community House,John Adams HS,,101-01 Rockaway Blvd,Ozone Park,Queens,NY,11417,Other Children & Youth Services,,,,40.678944,-73.837069
Queens Community House,HS for Arts and Business,,105-25 Horace Harding Expressway N,Corona,Queens,NY,11368,Other Children & Youth Services,,,,40.737558,-73.853003
Queens Community House,Generation Q,,107-20 71st Road,Forest Hills,Queens,NY,11375,Other Children & Youth Services,,,,40.720282,-73.843178
Queens Community House,Forest Hills NORC,,108-03 62nd Dr,Forest Hills,Queens,NY,11375,NORC,,,Older Adults,40.736002,-73.850738
Queens Community House,Queens Childcare Network,,108-21 72nd Ave,Forest Hills,Queens,NY,11375,Child Care Center,Early Childhood Education,,,40.719986,-73.84244
Queens Community House,Forest Hills Community Center,,108-25 62nd Dr,Forest Hills,Queens,NY,11375,"COMPASS/SONYC, Youth Employment Services, Other Children & Youth Services, Older Adult Center, Other Older Adult Services, Adult Literacy, Arts & Culture, Civic Engagement & Community Organizing, Food Access, Family Services, Housing & Homelessness, Immigrant Services",,Afterschool,Older Adults,40.736169,-73.850151
Queens Community House,Administrative Office,X,108-69 62 Drive,Forest Hills,Queens,NY,11375,,,,,40.736548,-73.849419
Queens Community House,PS 160 ,,109-59 Inwood Street,Jamaica,Queens,NY,11435,Other Children & Youth Services,,,,40.688026,-73.799967
Queens Community House,Eviction Prevention Unit,,119-45 Union turnpike,Forest Hills,Queens,NY,11375,"Youth Employment Services, Other Older Adult Services, Family Services, Housing & Homelessness",,,Older Adults,40.714007,-73.832334
Queens Community House,Queens Academy HS,,138-11 35th Ave,Flushing,Queens,NY,11354,COMPASS/SONYC,,Afterschool,,40.76549,-73.82846
Queens Community House,"Queens College School for Math, Science, and Technology",,148-20 Reeves Ave,Flushing,Queens,NY,11367,COMPASS/SONYC,,Afterschool,,40.738878,-73.821298
Queens Community House,Young Women's Leadership School,,150-91 87 Rd,Briarwood,Queens,NY,11432,COMPASS/SONYC,,Afterschool,,40.708351,-73.804131
Queens Community House,VOYAGES South,,156-10 Baisley Blvd,Springfield Gardens,Queens,NY,11434,Other Children & Youth Services,,,,40.675176,-73.783293
Queens Community House,Hillcrest High School,,160-05 Highland Ave,Briarwood,Queens,NY,11432,Youth Employment Services,,,,40.709273,-73.802176
Queens Community House,Queens Satellite HS,,162-02 Hillside Ave,Jamaica,Queens,NY,11432,Other Children & Youth Services,,,,40.708358,-73.799599
Queens Community House,Queens Collegiate,,167-01 Gothic Dr,Jamaica,Queens,NY,11432,Other Children & Youth Services,,,,40.714112,-73.797831
Queens Community House,Business Tech. Early College HS,,230-17 Hillside Ave,Queens Village,Queens,NY,11427,Youth Employment Services,,,,40.733693,-73.738724
Queens Community House,Queens Center for Gay Seniors,,37-06 77th St,Jackson Heights,Queens,NY,11372,"Older Adult Center, Food Access",,,Older Adults,40.748988,-73.889325
Queens Community House,IS 429,,38-04 48 Street,Sunnyside,Queens,NY,11104,COMPASS/SONYC,,Afterschool,,40.7497522,-73.9182074
Queens Community House,Pioneer Academy,,40-20 100th Street,Corona,Queens,NY,11368,"Community School, COMPASS/SONYC",,Afterschool,,40.74927,-73.865604
Queens Community House,VOYAGES High School,,45-10 94th St,Elmhurst,Queens,NY,11373,Other Older Adult Services,,,Older Adults,40.743533,-73.870826
Queens Community House,Newtown High School,,48-01 90 Street,Elmhurst,Queens,NY,11373,21st Century Community Learning Center,,Afterschool,,40.740873,-73.874433
Queens Community House,Int'l High School of Health Sciences; Newtown High School,,48-01 90th St,Elmhurst,Queens,NY,11373,21st Century Community Learning Center,,Afterschool,,40.740873,-73.874433
Queens Community House,JHS 157,,64 Ave & 102 St,Rego Park,Queens,NY,11374,COMPASS/SONYC,,Afterschool,,40.731754,-73.853588
Queens Community House,PS 201,,65-11 155th St,Flushing,Queens,NY,11367,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.736735,-73.813196
Queens Community House,Pomonok Community Center,,67-09 Kissena Blvd,Flushing,Queens,NY,11367,"COMPASS/SONYC, Youth Employment Services, Older Adult Center, Arts & Culture, Civic Engagement & Community Organizing, Food Access, Family Services, Health & Fitness, Workforce Development",,Afterschool,Older Adults,40.73517,-73.814091
Queens Community House,Beacon @ JHS 190,,68-17 Austin St,Forest Hills,Queens,NY,11375,"Beacon, Civic Engagement & Community Organizing",,Afterschool,,40.723117,-73.851783
Queens Community House,Youth Workforce,,70-34 Austin St,Forest Hills,Queens,NY,11375,"Youth Employment Services, Workforce Development",,,,40.720387,-73.845673
Queens Community House,Kew Gardens Community Center,,80-02 Kew Gardens Rd #202,Kew Gardens,Queens,NY,11415,Older Adult Center,,,Older Adults,40.71383,-73.83108
Queens Community House,JHS 217,,85-05 144 St,Briarwood,Queens,NY,11435,COMPASS/SONYC,,Afterschool,,40.710208,-73.812336
Queens Community House,PS 117,,85-15 143 St,Briarwood,Queens,NY,11435,COMPASS/SONYC,,Afterschool,,40.710022,-73.81322
Queens Community House,The SEVEN Family Enrichment Center,,87-10 Northern Blvd,Jackson Heights,Queens,NY,11372,Family Services,,,,40.755949,-73.880228
Queens Community House,PS 86,,87-41 Parsons Blvd,Briarwood,Queens,NY,11432,COMPASS/SONYC,,Afterschool,,40.709112,-73.803889
Queens Community House,PS 82,,88-02 144th Street,Jamaica,Queens,NY,11435,COMPASS/SONYC,,Afterschool,,40.703828,-73.811996
Queens Community House,MS 358,,88-08 164th St,Jamaica,Queens,NY,11432,COMPASS/SONYC,,Afterschool,,40.708729,-73.798175
Queens Community House,Jamaica Older Adult Center,,89-60 164th Street,Jamaica,Queens,NY,11432,Older Adult Center,,,Older Adults,40.705901,-73.796373
Queens Community House,Beacon @ JHS 210,,93-11 101st Ave,South Ozone Park,Queens,NY,11416,Beacon,,Afterschool,,40.684001,-73.847502
Queens Community House,Beacon @ PS 149,,93-11 34th Ave,Jackson Heights,Queens,NY,11372,Beacon,,Afterschool,,40.755097,-73.87423
Queens Community House,Epic High School,,94-25 117th Street,Richmond Hill,Queens,NY,11419,Youth Employment Services,,,,40.692864,-73.829167
Queens Community House,Rego Park Senior Center,,97-30 Queens Blvd,Rego Park,Queens,NY,11374,Older Adult Center,,,Older Adults,40.728672,-73.859281
Red Hook Initiative,Red Hook Farms,,10-46 Wolcott Street,Brooklyn,Brooklyn,NY,11231,Food Access,,,,40.675495,-74.009915
Red Hook Initiative,Red Hook Farms,,560 Columbia Street,Brooklyn,Brooklyn,NY,11231,Food Access,,,,40.672669,-74.008787
Red Hook Initiative,Red Hook Initiative,X,767 Hicks Street,Brooklyn,Brooklyn,NY,11231,"COMPASS/SONYC, Other Children & Youth Services, Civic Engagement & Community Organizing, Health & Fitness, Family Services, Workforce Development",,Afterschool,,40.676729,-74.004493
Riverdale Neighborhood House,"Tech Academy, MS/HS 368",,2975 Tibbett Ave.,Bronx,Bronx,NY,10463,COMPASS/SONYC,,Afterschool,,40.87911,-73.911025
Riverdale Neighborhood House,Riverdale House,X,5521 Mosholu Avenue,Bronx,Bronx,NY,10471,"COMPASS/SONYC, Other Children & Youth Services, Food Access, Civic Engagement & Community Organizing",,Afterschool,,40.903352,-73.903835
Riverdale Neighborhood House,Early Childhood Program,,5555 Mosholu Ave.,Bronx,Bronx,NY,10471,Child Care Center,Early Childhood Education,,,40.903747,-73.90346
Riverdale Neighborhood House,RKA MS/HS 141,,637 West 238th Street,Bronx,Bronx,NY,10463,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.888781,-73.911999
SCAN-Harbor,"Performing Arts Academy, SCAN-Harbor T.E.E.N.S. Program",,1 East 104th St,New York,Manhattan,NY,10029,"Arts & Culture, COMPASS/SONYC",,Afterschool,,40.792871,-73.951536
SCAN-Harbor,PS 73,,1020 Anderson Ave.,Bronx,Bronx,NY,10452,COMPASS/SONYC,,Afterschool,,40.832711,-73.926606
SCAN-Harbor,Reverend T. Wendell Foster Recreation Center,,1020 Jerome Ave.,Bronx,Bronx,NY,10452,"Other Children & Youth Services, Food Access, Violence Prevention",,,,40.831974,-73.925258
SCAN-Harbor,Jackie Robinson Houses Cornerstone,,110 East 129th Street,New York,Manhattan,NY,10035,Cornerstone,,Afterschool,,40.806967,-73.936388
SCAN-Harbor,PS 114,,1155 Cromwell Ave.,Bronx,Bronx,NY,10452,COMPASS/SONYC,,Afterschool,,40.83516,-73.923039
SCAN-Harbor,Dewitt Clinton Houses Cornerstone,,120 East 110th Street,New York,Manhattan,NY,10029,Cornerstone,,Afterschool,,40.794934,-73.94515
SCAN-Harbor,Harbor Science and Art Charter School,,132/142 East 111th Street,New York,Manhattan,NY,10029,COMPASS/SONYC,,Afterschool,,40.795542,-73.944439
SCAN-Harbor,Family Renewal Center,,1377 Jerome Ave.,Bronx,Bronx,NY,10452,"Family Services, Mental Health & Substance Abuse",,,,40.838918,-73.9189
SCAN-Harbor,PS 199 (Bx),,1449 Shakespeare Ave.,Bronx,Bronx,NY,10452,COMPASS/SONYC,,Afterschool,,40.843379,-73.920448
SCAN-Harbor,IS 339,,1600 Webster Avenue,Bronx,Manhattan,NY,10457,COMPASS/SONYC,,Afterschool,,40.840671,-73.90426
SCAN-Harbor,Lehman Village Houses Cornerstone,,1605 Madison Avenue,New York,Manhattan,NY,10029,Cornerstone,,Afterschool,,40.794673,-73.948366
SCAN-Harbor,Eisman Nursery @ Holmes Towers,,1754 First Avenue,New York,Manhattan,NY,10128,"Child Care Center, Head Start",Early Childhood Education,,,40.7799,-73.946959
SCAN-Harbor,Johnson Community Center,,1833 Lexington Ave,New York,Manhattan,NY,10029,Cornerstone,,Afterschool,,40.796802,-73.942442
SCAN-Harbor,PS 171 - SCAN-Harbor K.I.D.S.,,19 East 103rd Street,New York,Manhattan,NY,10029,COMPASS/SONYC,,Afterschool,,40.792004,-73.951425
SCAN-Harbor,Martin Luther King Towers Cornerstone,,2 West 115th Street,New York,Manhattan,NY,10026,Cornerstone,,Afterschool,,40.79992,-73.947448
SCAN-Harbor,"Wadleigh HS Usawa Beacon, Reach for the Stars, W.I.S.H.",,215 West 114th Street,New York,Manhattan,NY,10026,"Beacon, Other Children & Youth Services",,Afterschool,,40.802293,-73.954082
SCAN-Harbor,El Faro Beacon @ MS 45,,2351 First Ave.,New York,Manhattan,NY,10035,Beacon,,Afterschool,,40.79919,-73.933397
SCAN-Harbor,PS 274,,275 Harlem River Park Bridge,Bronx,Bronx,NY,10453,COMPASS/SONYC,,Afterschool,,40.852643,-73.921271
SCAN-Harbor,Administrative Office,X,345 E 102nd St,New York,Manhattan,NY,10029,"Beacon, Child Care Center, Cornerstone, COMPASS/SONYC, Community School, Head Start, LEAPS, Summer Rising, Youth Employment Services, Other Children & Youth Services, Arts & Culture, Family Services, Food Access, Mental Health & Substance Abuse, Violence Prevention",Early Childhood Education,Afterschool,,40.787408,-73.942339
SCAN-Harbor,Seton Falls Beacon,,3750 Baychester Avenue,Bronx,Bronx,NY,10466,Beacon,,Afterschool,,40.886052,-73.840578
SCAN-Harbor,East River Houses Cornerstone,,404 East 105th Street,New York,Manhattan,NY,10029,Cornerstone,,Afterschool,,40.787829,-73.940404
SCAN-Harbor,Wagner Houses Cornerstone,,435 East 120th Street,New York,Manhattan,NY,10035,Cornerstone,,Afterschool,,40.79819,-73.931492
SCAN-Harbor,PS 55,,450 Saint Paul's Place,Bronx,Bronx,NY,10456,"COMPASS/SONYC, Community School",,Afterschool,,40.836143,-73.90456
SCAN-Harbor,PS 58,,459 East 176th Street,Bronx,Bronx,NY,10457,COMPASS/SONYC,,Afterschool,,40.846117,-73.898847
Shorefront Y,PS 225,,"1075 Ocean View Ave, ",Brooklyn,Brooklyn,NY,11235,"COMPASS/SONYC, Summer Rising, Adult Literacy",,Afterschool,,40.579818,-73.956012
Shorefront Y,Advantage Homecare,,1515 Sheepshead Bay Rd,Brooklyn,Brooklyn,NY,11235,Adult Literacy,,,,40.587355,-73.953613
Shorefront Y,PS 197,,"1599 E 22nd St,",Brooklyn,Brooklyn,NY,11210,Adult Literacy,,,,40.612574,-73.951669
Shorefront Y,EDP School ,,1601 Voorhies Ave,Brooklyn,Brooklyn,NY,11235,Adult Literacy,,,,40.585962,-73.952874
Shorefront Y,PS 206 ,,2200 Gravesend Neck Rd,Brooklyn,Brooklyn,NY,11229,Adult Literacy,,,,40.597299,-73.94884
Shorefront Y,Shorefront Y Center,X,3300 Coney Island Ave.,Brooklyn,Brooklyn,NY,11235,"Child Care Center, Other Children & Youth Services, NORC, Older Adult Center, Other Older Adult Services, Adult Literacy, Arts & Culture, Civic Engagement & Community Organizing, Family Services, Health & Fitness, Immigrant Services, Workforce Development",Early Childhood Education,,Older Adults,40.575736,-73.959804
